X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
1.7693778,4.7601967,1
X,Y,CentroidNumber
1.7501438,4.7477846,1
X,Y,CentroidNumber
1.8444643,4.747338,1
X,Y,CentroidNumber
1.7373655,4.776371,1
X,Y,CentroidNumber
1.7855494,4.8128524,1
X,Y,CentroidNumber
1.7367755,4.794367,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
1.68846,4.696127,1
X,Y,CentroidNumber
1.6249257,4.706563,1
X,Y,CentroidNumber
1.649368,4.708099,1
X,Y,CentroidNumber
1.6362295,4.663597,1
X,Y,CentroidNumber
1.6508406,4.66136,1
X,Y,CentroidNumber
1.5833967,4.6453,1
X,Y,CentroidNumber
1.5920286,4.617378,1
X,Y,CentroidNumber
1.6360652,4.6178102,1
X,Y,CentroidNumber
1.6777766,4.58198,1
X,Y,CentroidNumber
1.6834232,4.5768766,1
X,Y,CentroidNumber
1.6839863,4.562917,1
X,Y,CentroidNumber
1.7327425,4.5924993,1
X,Y,CentroidNumber
1.6903324,4.5821524,1
X,Y,CentroidNumber
1.6167294,4.6050377,1
X,Y,CentroidNumber
1.5513351,4.6332383,1
X,Y,CentroidNumber
1.5595604,4.5891633,1
X,Y,CentroidNumber
1.6272156,4.5817003,1
X,Y,CentroidNumber
1.611933,4.6088004,1
X,Y,CentroidNumber
1.5404438,4.609722,1
X,Y,CentroidNumber
1.387637,4.6112914,1
X,Y,CentroidNumber
1.3879119,4.5581717,1
X,Y,CentroidNumber
1.358979,4.525238,1
X,Y,CentroidNumber
1.5288123,4.5383396,1
X,Y,CentroidNumber
1.2814825,4.568934,1
X,Y,CentroidNumber
1.2642654,4.570716,1
X,Y,CentroidNumber
1.2903981,4.5440207,1
X,Y,CentroidNumber
1.4965314,4.5582385,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
1.5727324,4.5588737,1
X,Y,CentroidNumber
1.2963015,4.5533357,1
X,Y,CentroidNumber
1.4799875,4.497794,1
X,Y,CentroidNumber
1.3770603,4.497307,1
X,Y,CentroidNumber
1.5713251,4.451835,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
1.3742675,4.4991217,1
X,Y,CentroidNumber
1.5574881,4.423675,1
X,Y,CentroidNumber
1.5698901,4.5262895,1
X,Y,CentroidNumber
1.435296,4.473319,1
X,Y,CentroidNumber
1.4189162,4.388583,1
X,Y,CentroidNumber
1.3382809,4.4752398,1
X,Y,CentroidNumber
1.3407724,4.5238023,1
X,Y,CentroidNumber
1.3266422,4.5285883,1
X,Y,CentroidNumber
1.6145127,4.5355277,1
X,Y,CentroidNumber
1.6223801,4.5715756,1
X,Y,CentroidNumber
1.6246247,4.5670657,1
X,Y,CentroidNumber
1.6522841,4.58718,1
X,Y,CentroidNumber
1.4038515,4.5976887,1
X,Y,CentroidNumber
1.3372256,4.583232,1
X,Y,CentroidNumber
1.3326386,4.6132503,1
X,Y,CentroidNumber
1.4245749,4.570259,1
X,Y,CentroidNumber
1.3532175,4.556799,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
1.5388128,4.5850782,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
1.4183795,4.60393,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
,,1
X,Y,CentroidNumber
1.5580872,4.560924,1
X,Y,CentroidNumber
1.3439413,4.5044513,1
X,Y,CentroidNumber
1.2084174,4.5829177,1
X,Y,CentroidNumber
,,1
