
X,Y
2.012475,2.045256
X,Y
1.9616559,2.0944388
X,Y
1.995821,2.0613647
X,Y
1.9616559,2.0944388
X,Y
1.987438,2.0535645
X,Y
1.9797707,2.0737126
X,Y
1.9616559,2.0944388
X,Y
1.9616559,2.0944388
X,Y
2.0139785,2.0392995
X,Y
1.9700782,2.0763047
X,Y
1.9819945,2.0701635
X,Y
1.9702661,2.068573
X,Y
1.9430097,2.1016574
X,Y
1.9700782,2.0763047
X,Y
1.9590212,2.0690203
X,Y
1.9700782,2.0763047
X,Y
1.9531361,2.0853424
X,Y
1.9616559,2.0944388
X,Y
1.9698297,2.1031659
X,Y
1.9972401,2.0763373
X,Y
1.9698297,2.1031659
X,Y
1.9698297,2.1031659
X,Y
1.9698297,2.1031659
X,Y
1.9700782,2.0763047
X,Y
1.9700782,2.0763047
X,Y
1.9698297,2.1031659
X,Y
1.9698297,2.1031659
X,Y
1.9616559,2.0944388
X,Y
1.9700782,2.0763047
X,Y
2.0089762,2.0654743
X,Y
1.9698297,2.1031659
X,Y
1.9531361,2.0853424
X,Y
1.9700782,2.0763047
X,Y
1.9700782,2.0763047
X,Y
1.9430097,2.1016574
X,Y
1.9698297,2.1031659
X,Y
1.9616559,2.0944388
X,Y
1.9616559,2.0944388
X,Y
1.9700782,2.0763047
X,Y
1.9698297,2.1031659
X,Y
1.9616559,2.0944388
X,Y
1.9698297,2.1031659
X,Y
1.9698297,2.1031659
X,Y
1.9616559,2.0944388
X,Y
1.9616559,2.0944388
X,Y
1.9700782,2.0763047
X,Y
1.9698297,2.1031659
X,Y
1.9700782,2.0763047
X,Y
1.9698297,2.1031659
X,Y
1.9616559,2.0944388
X,Y
1.987438,2.0535645
X,Y
1.9616559,2.0944388
X,Y
1.9698297,2.1031659
X,Y
1.8179632,4.674401
X,Y
1.8542714,4.690694
X,Y
1.7720166,4.708135
X,Y
1.8179632,4.674401
X,Y
1.7685302,4.6997805
X,Y
1.8125422,4.6984453
X,Y
1.7807754,4.731407
X,Y
1.781265,4.681779
X,Y
1.7725672,4.70869
X,Y
1.7024412,4.7580047
X,Y
1.9333874,4.7642937
X,Y
1.9333874,4.7642937
X,Y
1.8290628,4.762489
X,Y
1.7693778,4.7601967
X,Y
1.7501438,4.7477846
X,Y
1.8444643,4.747338
X,Y
1.7373655,4.776371
X,Y
1.7855494,4.8128524
X,Y
1.7367755,4.794367
X,Y
1.7018545,4.7165546
X,Y
1.68846,4.696127
X,Y
1.6249257,4.706563
X,Y
1.649368,4.708099
X,Y
1.6362295,4.663597
X,Y
1.6508406,4.66136
X,Y
1.5833967,4.6453
X,Y
1.5920286,4.617378
X,Y
1.6360652,4.6178102
X,Y
1.6777766,4.58198
X,Y
1.6834232,4.5768766
X,Y
1.6839863,4.562917
X,Y
1.7327425,4.5924993
X,Y
1.6903324,4.5821524
X,Y
1.6167294,4.6050377
X,Y
1.5513351,4.6332383
X,Y
1.5595604,4.5891633
X,Y
1.6272156,4.5817003
X,Y
1.611933,4.6088004
X,Y
1.5404438,4.609722
X,Y
1.387637,4.6112914
X,Y
1.3879119,4.5581717
X,Y
1.358979,4.525238
X,Y
1.5288123,4.5383396
X,Y
1.2814825,4.568934
X,Y
1.2642654,4.570716
X,Y
1.2903981,4.5440207
X,Y
1.4965314,4.5582385
X,Y
1.3149415,4.52408
X,Y
1.5727324,4.5588737
X,Y
1.2963015,4.5533357
X,Y
1.4799875,4.497794
X,Y
1.3770603,4.497307
X,Y
1.5713251,4.451835
X,Y
1.3325319,4.493012
X,Y
1.3742675,4.4991217
X,Y
1.5574881,4.423675
X,Y
1.5698901,4.5262895
X,Y
1.435296,4.473319
X,Y
1.4189162,4.388583
X,Y
1.3382809,4.4752398
X,Y
1.3407724,4.5238023
X,Y
1.3266422,4.5285883
X,Y
1.6145127,4.5355277
X,Y
1.6223801,4.5715756
X,Y
1.6246247,4.5670657
X,Y
1.6522841,4.58718
X,Y
1.4038515,4.5976887
X,Y
1.3372256,4.583232
X,Y
1.3326386,4.6132503
X,Y
1.4245749,4.570259
X,Y
1.3532175,4.556799
X,Y
1.3268912,4.635217
X,Y
1.3663955,4.5613437
X,Y
1.5388128,4.5850782
X,Y
1.3664029,4.560358
X,Y
1.4183795,4.60393
X,Y
1.3098181,4.565503
X,Y
1.3117588,4.507959
X,Y
1.3184625,4.5454836
X,Y
1.2235402,4.5163355
X,Y
1.5580872,4.560924
X,Y
1.3439413,4.5044513
X,Y
1.2084174,4.5829177
X,Y
1.1879243,4.4333944
X,Y
1.6194447,4.501517
X,Y
1.6000925,4.5200534
X,Y
1.2028067,4.397123
X,Y
1.6577425,4.457282
X,Y
1.2046309,4.413774
X,Y
1.181151,4.4129915
X,Y
1.2019994,4.3894677
X,Y
1.3379486,4.4672813
X,Y
1.5965496,4.4416475
X,Y
1.2828448,4.408748
X,Y
1.5490927,4.415764
X,Y
1.5946301,4.3828197
X,Y
1.2471535,4.337234
X,Y
1.590038,4.3650017
X,Y
1.7057217,4.348579
X,Y
2.1565943,4.434301
X,Y
1.2764065,4.269841
X,Y
2.127677,4.424589
X,Y
1.2337356,4.163023
X,Y
1.6868141,4.301978
X,Y
2.0700142,4.367417
X,Y
1.2360303,4.178598
X,Y
1.6085147,4.257301
X,Y
1.6173478,4.2160954
X,Y
1.6829116,4.20225
X,Y
1.7005485,4.149177
X,Y
2.1171663,4.255375
X,Y
1.3054602,4.0583115
X,Y
1.7904785,4.0846434
X,Y
1.7133654,4.109717
X,Y
1.7209803,4.0326223
X,Y
1.6995946,4.011545
X,Y
1.6613262,3.960412
X,Y
1.65817,3.9528751
X,Y
1.7429917,3.9314318
X,Y
1.7304935,3.9079428
X,Y
1.5805572,3.862986
X,Y
1.6550018,3.8099208
X,Y
1.4993356,3.787303
X,Y
1.3548534,3.7198327
X,Y
1.3777696,3.70275
X,Y
1.3429829,3.6343458
X,Y
1.4106728,3.621954
X,Y
1.3423649,3.5548759
X,Y
1.5276736,3.5668283
X,Y
1.5300779,3.5430393
X,Y
1.5380497,3.469125
X,Y
1.4356433,3.431037
X,Y
1.4688685,3.4132466
X,Y
1.500419,3.366833
X,Y
1.5100803,3.3264503
X,Y
1.372929,3.2879477
X,Y
1.6049627,3.2659557
X,Y
1.5594598,3.2278528
X,Y
1.5091976,3.1907349
X,Y
1.5327032,3.1788616
X,Y
1.5199404,3.1321979
X,Y
1.5327234,3.1204612
X,Y
1.4866556,3.0232677
X,Y
1.454615,3.0228512
X,Y
